"","X","product_id","avg_rating","evaluation_score","product_type","total_score"
"1",1,"B003FBG88E",4.4,2.90355515621635,"hair_dryer",3.35248860935144
"2",2,"B0007NZPY6",5,3.41562217590792,"hair_dryer",3.89093552313554
"3",3,"B0009XH6V4",4.28019323671498,2.93367348565685,"hair_dryer",3.33762941097429
"4",4,"B00132ZG3U",4.29719626168224,2.93235078583518,"hair_dryer",3.3418044285893
"5",5,"B003V264WW",4.22487223168654,2.99114105276105,"hair_dryer",3.3612604064387
"6",7,"B000065DJY",3.54705882352941,2.7380285811078,"hair_dryer",2.98073765383428
"7",8,"B000FS1W4U",3.95454545454546,2.78057444296691,"hair_dryer",3.13276574644047
"8",9,"B0057HQ6C2",4.46666666666667,2.93187825440953,"hair_dryer",3.39231477808667
"9",10,"B00BB8ZIW0",4.42574257425743,2.94808338149582,"hair_dryer",3.3913811393243
"10",11,"B00CC7Y0G4",4.35593220338983,2.88397280723668,"hair_dryer",3.32556062608262
"11",12,"B001BOFIRO",4.19354838709677,3.05510204977579,"hair_dryer",3.39663595097208
"12",13,"B0027SU9JU",4.28395061728395,2.89787231212922,"hair_dryer",3.31369580367564
"13",14,"B00006IV22",4.4030612244898,2.91053349010082,"hair_dryer",3.35829181041751
"14",16,"B00092M2X2",3.76470588235294,2.78733795849479,"hair_dryer",3.08054833565224
"15",17,"B00SKQFT4I",4.54716981132075,3.00799811597659,"hair_dryer",3.46974962457984
"16",18,"B00A7JA72U",4.48387096774194,3.16057229898767,"hair_dryer",3.55756189961395
"17",21,"B00JXQ06X8",3.84090909090909,2.83046114506732,"hair_dryer",3.13359552881985
"18",23,"B0002G214U",3.50785340314136,2.75327183816273,"hair_dryer",2.97964630765632
"19",24,"B0012DL8B4",4.09411764705882,2.80734929796452,"hair_dryer",3.19337980269281
"20",25,"B000RZLL38",4.17931034482759,2.90008356409508,"hair_dryer",3.28385159831483
"21",26,"B000XE6C3M",4.17948717948718,2.83310409113742,"hair_dryer",3.23701901764235
"22",28,"B0001B86HM",3.63541666666667,2.77726140445946,"hair_dryer",3.03470798312162
"23",29,"B00VRN7SB8",4.2,3.34555993834974,"hair_dryer",3.60189195684482
"24",30,"B0009XH6TG",4.14054054054054,2.96636274916489,"hair_dryer",3.31861608657758
"25",32,"B00092M2XW",3.83783783783784,2.73002760124617,"hair_dryer",3.06237067222367
"26",34,"B0009XH6WI",3.87394957983193,2.8583253477725,"hair_dryer",3.16301261739033
"27",35,"B007ROD3O2",4.3,2.91982867500443,"hair_dryer",3.3338800725031
"28",38,"B001LQY1X4",4.02020202020202,2.84972869069965,"hair_dryer",3.20087068955036
"29",40,"B004INUY06",4.18055555555556,3.03200083385485,"hair_dryer",3.37656725036506
"30",48,"B003ICX810",4.06818181818182,2.88302735138884,"hair_dryer",3.23857369142673
"31",49,"B003L0LWYY",4.3,2.87201493055081,"hair_dryer",3.30041045138557
"32",51,"B00APV7OWG",4.2463768115942,3.05033227677813,"hair_dryer",3.40914563722295
"33",56,"B000H0XV3G",4.06034482758621,2.93142729376821,"hair_dryer",3.27010255391361
"34",59,"B008O1V33A",3.82352941176471,2.98868722215317,"hair_dryer",3.23913987903663
"35",60,"B00O0WRO08",4.54761904761905,3.0322524711069,"hair_dryer",3.48686244406055
"36",61,"B00MMRFUG8",4.60869565217391,3.24355960667978,"hair_dryer",3.65310042032802
"37",63,"B004YZMKKU",4.13970588235294,3.01559461516728,"hair_dryer",3.35282799532298
"38",64,"B00065AFFE",4.29032258064516,2.88096175147558,"hair_dryer",3.30377000022645
"39",67,"B00005O0MZ",4.09433962264151,2.90066710719624,"hair_dryer",3.25876886182982
"40",69,"B001AFFBCG",4.05405405405405,2.89776604811558,"hair_dryer",3.24465244989712
"41",73,"B000BBGS40",2.95238095238095,2.74333911119974,"hair_dryer",2.8060516635541
"42",77,"B0026ZD0WM",4.43396226415094,2.95399713928021,"hair_dryer",3.39798667674143
"43",90,"B0012HEGCI",3.3125,2.66803640279935,"hair_dryer",2.86137548195954
"44",91,"B000A3I2X4",4.22558922558923,2.81761633969225,"hair_dryer",3.24000820546134
"45",92,"B006QREFI4",4.31034482758621,3.0380412663691,"hair_dryer",3.41973233473423
"46",93,"B002GQMTAK",2.69090909090909,2.63317837808644,"hair_dryer",2.65049759193323
"47",95,"B000S8JB36",4.51724137931034,3.04470911312206,"hair_dryer",3.48646879297854
"48",97,"B007ROD3AG",4.23863636363636,2.96172564696105,"hair_dryer",3.34479886196364
"49",100,"B001UE7D2I",3.91153846153846,2.85135378729974,"hair_dryer",3.16940918957136
"50",109,"B001L0EDGK",4.85714285714286,3.10616977914698,"hair_dryer",3.63146170254574
"51",110,"B009ZPMPGI",3.93023255813954,2.69582064756345,"hair_dryer",3.06614422073628
"52",121,"B001QTW2FK",4.13833992094862,2.94977189069291,"hair_dryer",3.30634229976962
"53",124,"B00P88VPKS",4.69565217391304,3.00461094888685,"hair_dryer",3.51192331639471
"54",138,"B00JH2C3DE",4.5,3.03202506473614,"hair_dryer",3.4724175453153
"55",140,"B001BOFISS",3.92307692307692,3.00357500125729,"hair_dryer",3.27942557780318
"56",142,"B000X1MCYI",4.625,3.02396989169936,"hair_dryer",3.50427892418955
"57",147,"B0015YFTTC",4.57142857142857,2.97376113126472,"hair_dryer",3.45306136331387
"58",154,"B00009YJSJ",4.46829268292683,2.86833454805924,"hair_dryer",3.34832198851952
"59",157,"B00070E8IS",4.275,2.91415292453726,"hair_dryer",3.32240704717608
"60",158,"B0017WNHYG",4.58064516129032,2.95021770055566,"hair_dryer",3.43934593877606
"61",160,"B001UE7D3W",4.42307692307692,3.07824689120989,"hair_dryer",3.48169590077
"62",163,"B0009PL4D8",4.66666666666667,2.91252811918352,"hair_dryer",3.43876968342846
"63",170,"B00440ZZKW",3.5609756097561,2.8001449825822,"hair_dryer",3.02839417073437
"64",173,"B007PM4M3M",3.95238095238095,2.84445863119844,"hair_dryer",3.17683532755319
"65",191,"B00JQIAUDY",3.89830508474576,2.8688541935313,"hair_dryer",3.17768946089564
