"","X","product_id","avg_rating","evaluation_score","product_type","total_score"
"1",1,"B003FBG88E",4.4,2.90355515621635,"hair_dryer",4.10071103124327
"2",2,"B0007NZPY6",5,3.41562217590792,"hair_dryer",4.68312443518158
"3",3,"B0009XH6V4",4.28019323671498,2.93367348565685,"hair_dryer",4.01088928650335
"4",4,"B00132ZG3U",4.29719626168224,2.93235078583518,"hair_dryer",4.02422716651283
"5",5,"B003V264WW",4.22487223168654,2.99114105276105,"hair_dryer",3.97812599590144
"6",7,"B000065DJY",3.54705882352941,2.7380285811078,"hair_dryer",3.38525277504509
"7",8,"B000FS1W4U",3.95454545454546,2.78057444296691,"hair_dryer",3.71975125222975
"8",9,"B0057HQ6C2",4.46666666666667,2.93187825440953,"hair_dryer",4.15970898421524
"9",10,"B00BB8ZIW0",4.42574257425743,2.94808338149582,"hair_dryer",4.13021073570511
"10",11,"B00CC7Y0G4",4.35593220338983,2.88397280723668,"hair_dryer",4.0615403241592
"11",12,"B001BOFIRO",4.19354838709677,3.05510204977579,"hair_dryer",3.96585911963257
"12",13,"B0027SU9JU",4.28395061728395,2.89787231212922,"hair_dryer",4.006734956253
"13",14,"B00006IV22",4.4030612244898,2.91053349010082,"hair_dryer",4.104555677612
"14",16,"B00092M2X2",3.76470588235294,2.78733795849479,"hair_dryer",3.56923229758131
"15",17,"B00SKQFT4I",4.54716981132075,3.00799811597659,"hair_dryer",4.23933547225192
"16",18,"B00A7JA72U",4.48387096774194,3.16057229898767,"hair_dryer",4.21921123399109
"17",21,"B00JXQ06X8",3.84090909090909,2.83046114506732,"hair_dryer",3.63881950174074
"18",23,"B0002G214U",3.50785340314136,2.75327183816273,"hair_dryer",3.35693709014563
"19",24,"B0012DL8B4",4.09411764705882,2.80734929796452,"hair_dryer",3.83676397723996
"20",25,"B000RZLL38",4.17931034482759,2.90008356409508,"hair_dryer",3.92346498868109
"21",26,"B000XE6C3M",4.17948717948718,2.83310409113742,"hair_dryer",3.91021056181723
"22",28,"B0001B86HM",3.63541666666667,2.77726140445946,"hair_dryer",3.46378561422523
"23",29,"B00VRN7SB8",4.2,3.34555993834974,"hair_dryer",4.02911198766995
"24",30,"B0009XH6TG",4.14054054054054,2.96636274916489,"hair_dryer",3.90570498226541
"25",32,"B00092M2XW",3.83783783783784,2.73002760124617,"hair_dryer",3.61627579051951
"26",34,"B0009XH6WI",3.87394957983193,2.8583253477725,"hair_dryer",3.67082473342004
"27",35,"B007ROD3O2",4.3,2.91982867500443,"hair_dryer",4.02396573500089
"28",38,"B001LQY1X4",4.02020202020202,2.84972869069965,"hair_dryer",3.78610735430155
"29",40,"B004INUY06",4.18055555555556,3.03200083385485,"hair_dryer",3.95084461121542
"30",48,"B003ICX810",4.06818181818182,2.88302735138884,"hair_dryer",3.83115092482322
"31",49,"B003L0LWYY",4.3,2.87201493055081,"hair_dryer",4.01440298611016
"32",51,"B00APV7OWG",4.2463768115942,3.05033227677813,"hair_dryer",4.00716790463099
"33",56,"B000H0XV3G",4.06034482758621,2.93142729376821,"hair_dryer",3.83456132082261
"34",59,"B008O1V33A",3.82352941176471,2.98868722215317,"hair_dryer",3.6565609738424
"35",60,"B00O0WRO08",4.54761904761905,3.0322524711069,"hair_dryer",4.24454573231662
"36",61,"B00MMRFUG8",4.60869565217391,3.24355960667978,"hair_dryer",4.33566844307508
"37",63,"B004YZMKKU",4.13970588235294,3.01559461516728,"hair_dryer",3.91488362891581
"38",64,"B00065AFFE",4.29032258064516,2.88096175147558,"hair_dryer",4.00845041481124
"39",67,"B00005O0MZ",4.09433962264151,2.90066710719624,"hair_dryer",3.85560511955246
"40",69,"B001AFFBCG",4.05405405405405,2.89776604811558,"hair_dryer",3.82279645286636
"41",73,"B000BBGS40",2.95238095238095,2.74333911119974,"hair_dryer",2.91057258414471
"42",77,"B0026ZD0WM",4.43396226415094,2.95399713928021,"hair_dryer",4.13796923917679
"43",90,"B0012HEGCI",3.3125,2.66803640279935,"hair_dryer",3.18360728055987
"44",91,"B000A3I2X4",4.22558922558923,2.81761633969225,"hair_dryer",3.94399464840983
"45",92,"B006QREFI4",4.31034482758621,3.0380412663691,"hair_dryer",4.05588411534279
"46",93,"B002GQMTAK",2.69090909090909,2.63317837808644,"hair_dryer",2.67936294834456
"47",95,"B000S8JB36",4.51724137931034,3.04470911312206,"hair_dryer",4.22273492607268
"48",97,"B007ROD3AG",4.23863636363636,2.96172564696105,"hair_dryer",3.9832542203013
"49",100,"B001UE7D2I",3.91153846153846,2.85135378729974,"hair_dryer",3.69950152669072
"50",109,"B001L0EDGK",4.85714285714286,3.10616977914698,"hair_dryer",4.50694824154368
"51",110,"B009ZPMPGI",3.93023255813954,2.69582064756345,"hair_dryer",3.68335017602432
"52",121,"B001QTW2FK",4.13833992094862,2.94977189069291,"hair_dryer",3.90062631489748
"53",124,"B00P88VPKS",4.69565217391304,3.00461094888685,"hair_dryer",4.3574439289078
"54",138,"B00JH2C3DE",4.5,3.03202506473614,"hair_dryer",4.20640501294723
"55",140,"B001BOFISS",3.92307692307692,3.00357500125729,"hair_dryer",3.73917653871299
"56",142,"B000X1MCYI",4.625,3.02396989169936,"hair_dryer",4.30479397833987
"57",147,"B0015YFTTC",4.57142857142857,2.97376113126472,"hair_dryer",4.2518950833958
"58",154,"B00009YJSJ",4.46829268292683,2.86833454805924,"hair_dryer",4.14830105595331
"59",157,"B00070E8IS",4.275,2.91415292453726,"hair_dryer",4.00283058490745
"60",158,"B0017WNHYG",4.58064516129032,2.95021770055566,"hair_dryer",4.25455966914339
"61",160,"B001UE7D3W",4.42307692307692,3.07824689120989,"hair_dryer",4.15411091670351
"62",163,"B0009PL4D8",4.66666666666667,2.91252811918352,"hair_dryer",4.31583895717004
"63",170,"B00440ZZKW",3.5609756097561,2.8001449825822,"hair_dryer",3.40880948432132
"64",173,"B007PM4M3M",3.95238095238095,2.84445863119844,"hair_dryer",3.73079648814445
"65",191,"B00JQIAUDY",3.89830508474576,2.8688541935313,"hair_dryer",3.69241490650287
"66",204,"B0054Y2Q4K",4.80952380952381,3.01645663664981,"hair_dryer",4.45091037494901
"67",214,"B00QNC39TI",4.27272727272727,2.99912346548952,"hair_dryer",4.01800651127972
"68",226,"B0009XH6W8",4,2.81226856583526,"hair_dryer",3.76245371316705
"69",232,"B001UE7D3C",4.08695652173913,2.79799180618422,"hair_dryer",3.82916357862815
"70",241,"B002BFX6EO",4.4406779661017,2.93487605939448,"hair_dryer",4.13951758476026
"71",244,"B002NGMEVW",4.27272727272727,3.03341086915437,"hair_dryer",4.02486399201269
"72",246,"B00MEBKQ8E",4.83333333333333,2.94155354516585,"hair_dryer",4.45497737569983
"73",252,"B0009XH6UU",4.36567164179105,3.00725720233937,"hair_dryer",4.09398875390071
"74",259,"B0009XH6VO",4.06666666666667,2.90884088044115,"hair_dryer",3.83510150942157
"75",260,"B000X300MC",4.05,2.86493534815624,"hair_dryer",3.81298706963125
"76",281,"B00TA1JX3A",4.40625,2.95257375613465,"hair_dryer",4.11551475122693
"77",286,"B000E8PG98",3.84313725490196,2.88340239560897,"hair_dryer",3.65119028304336
"78",287,"B002B8VE4U",3.9468085106383,2.91716609418178,"hair_dryer",3.740880027347
"79",291,"B001MXWZFM",4.3921568627451,2.97264435378182,"hair_dryer",4.10825436095244
"80",294,"B003VZS9NG",3.90909090909091,2.8757146026879,"hair_dryer",3.70241564781031
"81",309,"B00BBCVPAU",4.16666666666667,2.68941894656665,"hair_dryer",3.87121712264667
"82",313,"B007O385QC",4.61538461538461,2.96904773303365,"hair_dryer",4.28611723891442
"83",315,"B000V3URNG",3.83333333333333,2.81664177705634,"hair_dryer",3.62999502207793
"84",344,"B000GWF57U",4.69565217391304,2.96783745835017,"hair_dryer",4.35008923080047
"85",352,"B00HZYSZHY",5,3.15776108046376,"hair_dryer",4.63155221609275
"86",369,"B000G666EW",4.52631578947368,2.97472711914013,"hair_dryer",4.21599805540697
"87",376,"B0099RKYEM",4.75,2.95744881884305,"hair_dryer",4.39148976376861
"88",386,"B00092M38G",3.35897435897436,2.63817568108878,"hair_dryer",3.21481462339724
"89",408,"B00092M2VO",4.10857142857143,2.89004423381136,"hair_dryer",3.86486598961942
"90",432,"B006BNFXHU",4.625,3.11361226612275,"hair_dryer",4.32272245322455
"91",446,"B0040VGR3Y",4.57142857142857,2.90748802940727,"hair_dryer",4.23864046302431
"92",450,"B000BLNUPU",3.5,2.75015164983041,"hair_dryer",3.35003032996608
"93",451,"B000YDMM2M",4.0625,2.97010948286832,"hair_dryer",3.84402189657366
"94",453,"B0008ENT8I",3.73913043478261,2.79494092132434,"hair_dryer",3.55029253209096
"95",463,"B0037MFCHE",4.09722222222222,3.05918128970763,"hair_dryer",3.8896140357193
"96",467,"B0037MKQE8",4.23529411764706,3.06314086184048,"hair_dryer",4.00086346648574
"97",470,"B000IF3D38",4.10204081632653,2.89559340394665,"hair_dryer",3.86075133385055
"98",478,"B002MHW4MG",4.02439024390244,2.92507900718523,"hair_dryer",3.804527996559
"99",500,"B003VZNCQK",3.66666666666667,2.76890191949373,"hair_dryer",3.48711371723208
"100",531,"B000BFJJ7E",2.79591836734694,2.70616967212539,"hair_dryer",2.77796862830263
"101",549,"B005IH0KDC",3.96,2.95859467103891,"hair_dryer",3.75971893420778
"102",562,"B00RPL1W4U",4.05263157894737,2.97042089355229,"hair_dryer",3.83618944186835
"103",575,"B003TQPRGY",4.27777777777778,2.89793864647892,"hair_dryer",4.00180995151801
"104",585,"B0089TDTWK",3.95918367346939,2.79932737327358,"hair_dryer",3.72721241343023
"105",587,"B002NGMEPI",3.25,2.78992048709522,"hair_dryer",3.15798409741904
"106",596,"B0009XH6VY",3.94444444444444,2.94538404996459,"hair_dryer",3.74463236554847
"107",617,"B001UE7D3M",2.71428571428571,2.48978301724117,"hair_dryer",2.6693851748768
"108",676,"B0018BXH1Y",4,2.92373195073598,"hair_dryer",3.7847463901472
"109",721,"B001UE7D46",4,2.9308510754773,"hair_dryer",3.78617021509546
"110",759,"B00MFBGATM",4.66666666666667,2.84164895168137,"hair_dryer",4.30166312366961
