"","marketplace","customer_id","review_id","product_id","product_parent","product_title","product_category","star_rating","helpful_votes","total_votes","vine","verified_purchase","review_headline","review_body","review_date"
"1","US",27684471,"RDRXHXTVIE9T8","B002B8VE4U",74735317,"travel smart by conair dual voltage 1875 watt hair dryer","Beauty",5,2,3,"N","Y","Just right for travel!","My wife bought this for our recent Europe trip.  Small, though not tiny like her old one, but plenty of power, folds for packing, dual voltage means no convertor needed for use on 240V/50Hz in Europe (you do need the little plug adaptor, which is not included).  She says sh'll use in place of her old one when we get home.",2012-09-30
"2","US",11959510,"R2OV2BAVDFDU6J","B003V264WW",732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple","Beauty",5,0,0,"N","Y","Fabulous Hair Dryer!","Fast shipping. Nice weight, high quality product. Great choices of speeds, heat and cooling levels. Dries hair quickly and effortlessly. Highly recommended.",2012-09-29
"3","US",13459519,"RA0XW0P0U4PRA","B000GWF57U",453645026,"turbo power turbo 1500 professional hair dryer","Beauty",5,1,1,"N","N","Inherited by my mom!","I have really rebel wavy hair and my mom got this as a gift 10 yrs ago. We both used it. She gave it to me abt 4/5 yrs and honestly it sooo good. It leaves ur hair sleek and shiny (depending how good you take care of your hair). Anyway just recently it makes this weird sound and it smells kindda bad haha but i cant complain. I just need a new one after 10 yrs.",2012-09-29
"4","US",19374024,"R3D6PQDJY1FKIB","B000R80ZTQ",486774008,"conair 1875 watt cord keeper 2-in-1 hair dryer, black","Beauty",5,0,0,"N","Y","The hair dryer for life, this is the best hairdryer ever","This hair dryer is great because of a few key features: 1- the retractable cord. ok ok not so special. 2- it has 3 heat settings, 3 levels of blowing and a cooling button for this price thats unheard of. Its so sturdy and nice and a cool metallic color too. Not loving the neon barbie pink but hey its a great dryer for cheap. And its got some nice attachments too like a huge SERIOUS diffuser !",2012-09-29
"5","US",26530085,"R1ICO1RSUSOQWT","B00132ZG3U",758099411,"conair 1875 watt tourmaline ceramic hair dryer","Beauty",5,0,0,"N","Y","Perfect","Perfect for long thin hair that doesn't need to be dry in a salon. It won't burn your hair and will leave it with no friz",2012-09-28
"6","US",17331613,"R19MDUYUGCQZ85","B001UHMWBM",197856712,"andis 1600w quiet hangup hair dryer with night light","Beauty",5,0,0,"N","Y","so convenient","I originally bought this for my guest bathroom but decided to put in the master and I am so glad I did. I don't have to get the dryer out everyday to dry my hair. It's right there and the night light feature is great also. My hair isn't thick so the blow power isn't an issue with me but it really blows and drys my hair in no time. I'm thinking about getting another one for our guest bath and for a Christmas gift.",2012-09-28
"7","US",18890456,"R2BV87S5SZMKUE","B00092M2XW",196041133,"hot tools professional 1600 watt super quiet turbo lightweight hair dryer","Beauty",2,1,1,"N","Y","Not quiet","I was disappointed with this hair dryer.  I needed a quiet hair dryer so I wouldn't wake my family when I get ready early in the morning.  While advertised as being quiet, it is no different than the regular hair dryers we have.  Very disappointing.",2012-09-28
"8","US",20477091,"ROQ6Q4AZO4VGS","B008O1V33A",569841544,"professional lightweight hair dryer","Beauty",4,37,37,"N","Y","Lightweight, big flow","I bought this product because it was highly rated by Good Housekeeping as best lightweight dryer.  It is lightweight and easy to handle.  Dries fast, even on Low Heat. The fan on-off switch has the Off position in the middle of the rocker... wish it were the Down position. A bit confusing when you are not looking.  Also, this would be a fantastic product if the very, very long cord were a retract.  The long cord is a real asset.. no doubt about it and it doesn't tangle. I would certainly buy again.",2012-09-27
"9","US",18581546,"R3DGGODHPGPN27","B000R80ZTQ",486774008,"conair 1875 watt cord keeper 2-in-1 hair dryer, black","Beauty",3,0,0,"N","N","Nice Dryer...Cord shorts (hazard) out from reel","This IS actually a nice dryer... although annoying to get the cord back in and out at times.  I have had this for about 4 years.  However, it now has a short in the cord where it attaches to the reel.  This makes the dryer not come on.  I have to jiggle the cord and turn back on to get it to work.  For obviously fire hazard reasons, I unplug it after use, but will need to find a new dryer as it's simply not safe to keep using.  That being said, I guess for the price it's fine; it does work well until it fails.  Just DON'T pull the cord too far out else you will likely have the same problem as me.",2012-09-26
"10","US",10319515,"R1EMJV1REJ0T4H","B0009XH6TG",47684938,"andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)","Beauty",1,0,1,"N","Y","Don't buy this Andis blow dryer!","I purchased this hair dryer because when I was staying at the Cosmopolitan Hotel in Las Vegas, they stocked one in the room and I really liked it - so when I got home I ordered one for myself.  In less than a year, the thing kept cutting out on me.  I would wait several minutes to see if it would work again, but it didn't until I kept blowing on it.  Well today it started making some strange loud crackling sounds.  I was going to blow on it, but decided I didn't want to risk it blowing up in my hand.",2012-09-26
"11","US",20344395,"ROGK5Y8FM4XVE","B000R80ZTQ",486774008,"conair 1875 watt cord keeper 2-in-1 hair dryer, black","Beauty",3,0,0,"N","Y","Works, but was expecting super fast drying","When this hairdryer came i was super excited. I bought to replace the one i had bought back in high school (longer ago than I care to remember).  It works well, nothing special.  It's nice that the cord can be stored inside the dryer istelf, but leaves the plug portion just hanging out awkwardly so it makes it kind of hard to store in a regular sized vanity drawer. It comes with two attachments which i use and find helpful when drying my hair for special occasions.  it's okay, probably would have gone with one that was a little bit cheaper if i had to do it over again.",2012-09-26
"12","US",20405433,"R1M6P1WX74RSHU","B00005O0MZ",694290590,"conair corp pers care 146np conair ionic conditioning 1875-watt hair dryer","Beauty",4,0,0,"N","Y","meets my expectation","price is ok and this product definitely meets my expectations. only, the ionic feature is not so well developed. i have a braun ionic hairdryer and i love the ionic feature. i almost anticipated that the ionic feature is not be so good with this product on account of the low price and i was right. so, the product is fully ok, only if you buy it just for the ionic feature, then you might be disappointed.",2012-09-26
"13","US",19177895,"R3ABE242BIGW6H","B0009XH6UU",486589264,"andis pro style soft grip 1600 watt hair dryer","Beauty",4,0,0,"N","Y","Good deal for the price","Inexpensive. Lightweight and easy to hold. Blows warm and hot. i was disappointed as it *does not blow cold air*. Not the longest cord so you have to stand close to where you plug it in. Be careful about holding it close to your head as it will sometimes pull your hair if the intake on the sides gets too close! I have shoulder length hair and have to be pretty careful. It does a good job of drying my hair. It's not too loud, after all its a hair dryer!!",2012-09-25
