product_id,product_type,2015_7_star_rating,2015_6_star_rating,2015_5_star_rating,2015_4_star_rating,2015_3_star_rating,2015_2_star_rating,2015_1_star_rating,2014_12_star_rating,2014_11_star_rating,2014_10_star_rating,2014_9_star_rating,2014_8_star_rating,2014_7_star_rating,2014_6_star_rating,2014_5_star_rating,2014_4_star_rating,2014_3_star_rating,2014_2_star_rating,2014_1_star_rating,2013_12_star_rating,2013_11_star_rating,2013_10_star_rating,2013_9_star_rating,2013_8_star_rating,2013_7_star_rating,2013_6_star_rating,2013_5_star_rating,2013_4_star_rating,2013_3_star_rating,2013_2_star_rating,2013_1_star_rating,2012_12_star_rating,2012_11_star_rating,2012_10_star_rating,2012_9_star_rating,2012_8_star_rating,2012_7_star_rating,2012_6_star_rating,2012_5_star_rating,2012_4_star_rating,2012_3_star_rating,2012_2_star_rating,2012_1_star_rating
B007V7G5TU,m,3.708333333,3.829268293,3.72972973,3.6571428569999997,3.464285714,3.56,3.333333333,3.5333333330000003,3.307692308,3.25,3.2,3.125,2.857142857,3.0,3.5,3.5,3.333333333,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
B0052G14E8,m,3.837837838,3.9191919189999997,3.989130435,3.9756097560000003,3.95,3.857142857,3.967741935,4.020408163,4.071428571,4.1315789469999995,4.085714286,4.064516128999999,3.923076923,4.095238095,4.166666667,4.2,3.857142857,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
B00NQFSSWS,m,3.571428571,3.52173913,3.454545455,3.428571429,3.333333333,3.4666666669999997,3.25,2.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B005GSZB3M,m,3.896103896,3.833333333,3.833333333,3.898550725,3.926470588,3.955223881,3.939393939,3.888888889,3.8965517239999996,3.857142857,3.9090909089999997,3.888888889,3.84,3.9111111110000003,3.9767441860000003,3.9767441860000003,3.9512195119999998,3.9444444439999997,4.028571428999999,4.0,3.933333333,3.96,4.1363636360000005,4.0,3.9444444439999997,3.733333333,3.538461538,3.454545455,3.3,3.4444444439999997,3.714285714,4.0,3.333333333,4.5,4.5,4.5,4.0,4.0,4.0,4.0,,,
B0055UBB4O,m,3.95890411,3.965517241,3.918367347,3.794871795,3.75,3.7,3.6470588239999997,3.5625,3.461538462,3.1,3.0,2.714285714,3.0,3.0,2.5,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
B00NG0FP7E,m,3.5,3.428571429,3.166666667,3.166666667,3.6,3.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B002I9QFNC,m,1.9090909090000001,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.6666666669999999,1.6666666669999999,1.75,1.75,1.75,1.857142857,1.857142857,1.857142857,1.8333333330000001,2.25,2.25,2.666666667,2.666666667,2.666666667,2.666666667,2.666666667,2.666666667,2.666666667,2.666666667,2.666666667,2.666666667,3.5,3.5,3.5,3.5,3.0,3.0,,,,,,,,
B00DUZ8LBW,m,4.612903226,4.6,4.620689655,4.666666667,4.6363636360000005,4.578947368,4.529411765,4.529411765,4.5,4.5,4.5,4.5,4.538461538,4.454545455,4.454545455,4.666666667,4.625,4.4,4.5,4.333333333,4.333333333,4.0,,,,,,,,,,,,,,,,,,,,,
B0052G51AQ,m,4.035087719,4.038461538,4.040816327,4.040816327,3.955555556,4.025641026000001,4.233333333,4.25,4.347826087,4.3888888889999995,4.375,4.090909091,3.571428571,4.0,4.0,3.5,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
B005GSZB9Q,m,4.150684932,4.1388888889999995,4.1388888889999995,4.171428571,4.194029851,4.1692307689999994,4.193548387,4.2459016389999995,4.237288136,4.3272727269999995,4.3272727269999995,4.320754717,4.307692308,4.36,4.346938776,4.326086957,4.302325581,4.365853659,4.41025641,4.382352941000001,4.393939393999999,4.35483871,4.379310345,4.37037037,4.37037037,4.36,4.473684211,4.4117647060000005,4.538461538,4.538461538,4.727272727,4.7,4.666666667,4.666666667,4.625,4.8,4.75,4.666666667,4.5,4.0,4.0,4.0,
