,product_id,product_type,2014_2_star_rating,2014_2_eval_score,2014_1_star_rating,2014_1_eval_score,2013_12_star_rating,2013_12_eval_score,2013_11_star_rating,2013_11_eval_score,2013_10_star_rating,2013_10_eval_score,2013_9_star_rating,2013_9_eval_score,2013_8_star_rating,2013_8_eval_score,2013_7_star_rating,2013_7_eval_score,2013_6_star_rating,2013_6_eval_score,2013_5_star_rating,2013_5_eval_score,2013_4_star_rating,2013_4_eval_score,2013_3_star_rating,2013_3_eval_score,2013_2_star_rating,2013_2_eval_score,2013_1_star_rating,2013_1_eval_score,2012_12_star_rating,2012_12_eval_score,2012_11_star_rating,2012_11_eval_score,2012_10_star_rating,2012_10_eval_score,2012_9_star_rating,2012_9_eval_score,2012_8_star_rating,2012_8_eval_score,2012_7_star_rating,2012_7_eval_score,2012_6_star_rating,2012_6_eval_score,2012_5_star_rating,2012_5_eval_score,2012_4_star_rating,2012_4_eval_score,2012_3_star_rating,2012_3_eval_score,2012_2_star_rating,2012_2_eval_score,2012_1_star_rating,2012_1_eval_score
0,B007T70X0Y,h,4.2272727272727275,2.570433272983528,4.190476190476191,2.550878598330597,4.294117647058823,2.6087642023828597,4.466666666666667,2.6582291251326726,4.466666666666667,2.6582291251326726,4.466666666666667,2.6582291251326726,4.466666666666667,2.6582291251326726,4.428571428571429,2.7251740159673337,4.428571428571429,2.7251740159673337,4.2727272727272725,2.660757394006426,4.428571428571429,2.7129373097227205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B0009XH6TG,h,4.175879396984925,2.7509597440653932,4.1530054644808745,2.7435244608759497,4.155688622754491,2.752324551278593,4.132911392405063,2.7399025608557657,4.121621621621622,2.742553018762862,4.139705882352941,2.729688182080195,4.131782945736434,2.733220825427998,4.145299145299146,2.7256620296342153,4.191304347826087,2.7447709926688493,4.201834862385321,2.7505894330549463,4.212121212121212,2.7374651394779486,4.191489361702128,2.7319584012580793,4.218390804597701,2.736598192376088,4.148648648648648,2.7412051487274285,4.175438596491228,2.7824926735185285,4.2272727272727275,2.826875701575244,4.297297297297297,2.851471851594585,4.193548387096774,2.7886617573152113,4.296296296296297,2.812555201522786,4.260869565217392,2.771954534570129,4.368421052631579,2.896567094542769,4.2,2.8679960629578587,3.888888888888889,2.837082318277754,4.428571428571429,2.76905975955254,4.666666666666667,2.816031850306458,4.6,2.909688039722485
2,B000RZLL38,h,4.2444444444444445,2.6493208769038685,4.209302325581396,2.6625588765939696,4.2682926829268295,2.662665688882039,4.27027027027027,2.6783165784231047,4.424242424242424,2.720119923342256,4.433333333333334,2.713788944482512,4.407407407407407,2.7103260615905658,4.407407407407407,2.7103260615905658,4.384615384615385,2.7036389879314653,4.333333333333333,2.706187525088194,4.333333333333333,2.706187525088194,4.277777777777778,2.690622711946689,4.25,2.6637132708212,4.25,2.6637132708212,4.142857142857143,2.5970760065955796,4.2,2.668615550420184,4.125,2.683563266007673,3.8333333333333335,2.5689033617902304,3.8333333333333335,2.5689033617902304,4.4,2.7158793056186568,4.4,2.7158793056186568,4.4,2.7158793056186568,4.75,2.9139539951248894,4.75,2.9139539951248894,4.666666666666667,2.8474172698356224,5.0,2.6331180687850395
3,B0050QLDGY,h,3.8536585365853657,2.5885177111264106,3.9444444444444446,2.6046586266920566,4.0,2.6107710409647726,4.090909090909091,2.6254390194848023,4.090909090909091,2.6254390194848023,4.125,2.636849943948484,4.125,2.636849943948484,4.0344827586206895,2.6291819195743553,4.0344827586206895,2.6291819195743553,4.0,2.607520346854574,4.08,2.603382189899419,4.083333333333333,2.5650017872349546,4.090909090909091,2.565331552036463,4.117647058823529,2.5150047989763786,3.9285714285714284,2.5339382339859986,3.8461538461538463,2.4910681236964374,4.0,2.5859928385759505,4.222222222222222,2.7012835099194223,4.125,2.703412703637194,4.125,2.703412703637194,4.285714285714286,2.6286387619516205,4.285714285714286,2.6286387619516205,4.166666666666667,2.6676655343039206,4.166666666666667,2.6676655343039206,4.166666666666667,2.6676655343039206,4.0,2.5920852764846365
4,B003L0LWYY,h,3.875,2.710527014487108,3.75,2.7629165321385005,3.3333333333333335,2.869179647533851,3.3333333333333335,2.869179647533851,3.3333333333333335,2.869179647533851,3.3333333333333335,2.869179647533851,3.3333333333333335,2.869179647533851,3.3333333333333335,2.869179647533851,3.3333333333333335,2.869179647533851,3.3333333333333335,2.869179647533851,3.3333333333333335,2.869179647533851,2.5,2.531607359303426,2.5,2.531607359303426,4.0,3.6101094783154157,,,,,,,,,,,,,,,,,,,,,,,,
5,B00CC7Y0G4,h,3.888888888888889,2.6446849548948497,4.0,2.865421658653487,3.25,2.445069271952367,4.0,2.805929193049856,4.0,2.805929193049856,4.0,2.805929193049856,4.0,2.805929193049856,4.0,2.805929193049856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B00APV7OWG,h,4.557142857142857,2.908608577841699,4.575757575757576,2.919886702064656,4.592592592592593,2.915819949743077,4.622222222222222,2.979043161964512,4.7368421052631575,2.9868847144365036,4.655172413793103,2.978246782032519,4.904761904761905,3.0102628467744674,4.894736842105263,3.0465141957095434,4.882352941176471,3.0204346865320346,4.75,2.972783275794142,5.0,3.0085835875444715,5.0,3.127780218741038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B007ROD3AG,h,3.642857142857143,2.399761477621062,3.4545454545454546,2.3487611102344514,3.5555555555555554,2.3139055392672114,3.875,2.540059437237966,3.7142857142857144,2.5431109064110746,3.5,2.4446220940394223,3.2,2.298106092945468,2.75,2.272687719414857,2.75,2.272687719414857,2.3333333333333335,1.9675394362966816,2.3333333333333335,1.9675394362966816,2.3333333333333335,1.9675394362966816,2.3333333333333335,1.9675394362966816,2.3333333333333335,1.9675394362966816,2.3333333333333335,1.9675394362966816,1.0,1.0227356796338392,1.0,1.0227356796338392,1.0,1.0227356796338392,1.0,1.0227356796338392,,,,,,,,,,,,,,
8,B000R80ZTQ,h,4.053254437869822,2.685678775290178,4.0375,2.6762871013494696,4.033783783783784,2.6919666187172155,4.022556390977444,2.691791578955539,4.024193548387097,2.6973152200383463,4.0256410256410255,2.685723964870113,4.037037037037037,2.681077253145287,4.019607843137255,2.679778165281952,4.0,2.695311583819202,4.067415730337078,2.720991246398019,4.135802469135802,2.758041576362789,4.1,2.7591986490697202,4.142857142857143,2.744653843747051,4.142857142857143,2.7570121558848566,4.23404255319149,2.818432460199511,4.078947368421052,2.788530393421477,3.9696969696969697,2.803505477964647,3.9696969696969697,2.803505477964647,4.0344827586206895,2.814833155095539,4.035714285714286,2.807134314562203,4.0,2.8112055490480534,4.0625,2.7855107385401414,4.1,2.7658314212479818,3.8333333333333335,2.6082813096802138,3.8333333333333335,2.6082813096802138,5.0,2.9373060100306425
9,B0009XH6TG,h,4.175879396984925,2.7509597440653932,4.1530054644808745,2.7435244608759497,4.155688622754491,2.752324551278593,4.132911392405063,2.7399025608557657,4.121621621621622,2.742553018762862,4.139705882352941,2.729688182080195,4.131782945736434,2.733220825427998,4.145299145299146,2.7256620296342153,4.191304347826087,2.7447709926688493,4.201834862385321,2.7505894330549463,4.212121212121212,2.7374651394779486,4.191489361702128,2.7319584012580793,4.218390804597701,2.736598192376088,4.148648648648648,2.7412051487274285,4.175438596491228,2.7824926735185285,4.2272727272727275,2.826875701575244,4.297297297297297,2.851471851594585,4.193548387096774,2.7886617573152113,4.296296296296297,2.812555201522786,4.260869565217392,2.771954534570129,4.368421052631579,2.896567094542769,4.2,2.8679960629578587,3.888888888888889,2.837082318277754,4.428571428571429,2.76905975955254,4.666666666666667,2.816031850306458,4.6,2.909688039722485
