,product_id,product_type,2012_2_star_rating,2012_2_eval_score,2012_1_star_rating,2012_1_eval_score
0,B004INUY06,h,5.0,3.7280593564059954,5.0,3.714852676214015
1,B006BNFXHU,h,4.583333333333333,3.057828766594061,,
2,B001UE7D46,h,5.0,3.123712490215457,,
3,B000FS1W4U,h,1.0,2.0740450861300417,,
4,B000M7YQOM,h,3.0,2.9366387166662635,,
5,B000E2ZONM,h,1.0,1.423776961170252,,
6,B0009XH6V4,h,4.666666666666667,2.537549523340202,5.0,3.076773567240941
7,B004YZMKKU,h,4.7,3.0449733961190177,4.833333333333333,3.1865590680892244
8,B006BNFXHU,h,4.583333333333333,3.057828766594061,,
9,B000RZLL38,h,4.666666666666667,2.8474172698356224,5.0,2.6331180687850395
10,B006BNFXHU,h,4.583333333333333,3.057828766594061,,
11,B006BNFXHU,h,4.583333333333333,3.057828766594061,,
12,B001BOFIRO,h,4.0,2.5857329078436555,5.0,3.069377310596171
13,B000A3TBB6,h,5.0,3.257212820495218,5.0,3.069397724205736
14,B003V264WW,h,3.8,2.606957378816488,3.6666666666666665,2.4730166650547556
15,B004YZMKKU,h,4.7,3.0449733961190177,4.833333333333333,3.1865590680892244
16,B000ALCJR6,h,1.0,1.9073992976194072,,
17,B00132ZG3U,h,3.8,2.6636970913126863,4.25,2.918331152806209
18,B000A3I2X4,h,4.25,2.5556674682400047,3.5,2.2260797525595457
19,B000V3URNG,h,4.0,2.483178141644538,5.0,2.4728191002055064
20,B003S56KWQ,h,5.0,3.3271168783807017,,
21,B00005O0MZ,h,4.25,2.807682545478131,4.0,2.5901338384530206
22,B0009XH6UU,h,4.0,2.627580976608315,4.0,2.5065122064038685
23,B0012DL8B4,h,5.0,2.9357781699461647,,
24,B004YZMKKU,h,4.7,3.0449733961190177,4.833333333333333,3.1865590680892244
25,B006BNFXHU,h,4.583333333333333,3.057828766594061,,
26,B006BNFXHU,h,4.583333333333333,3.057828766594061,,
27,B003V264WW,h,3.8,2.606957378816488,3.6666666666666665,2.4730166650547556
28,B0002G214U,h,3.0,2.3224469929503946,,
29,B001MXWZFM,h,1.0,2.0937544903920706,1.0,1.0
30,B006BNFXHU,h,4.583333333333333,3.057828766594061,,
31,B006BNFXHU,h,4.583333333333333,3.057828766594061,,
32,B006BNFXHU,h,4.583333333333333,3.057828766594061,,
33,B006BNFXHU,h,4.583333333333333,3.057828766594061,,
34,B006BNFXHU,h,4.583333333333333,3.057828766594061,,
35,B006BNFXHU,h,4.583333333333333,3.057828766594061,,
36,B000A3I2X4,h,4.25,2.5556674682400047,3.5,2.2260797525595457
37,B00005O0MZ,h,4.25,2.807682545478131,4.0,2.5901338384530206
38,B003V264WW,h,3.8,2.606957378816488,3.6666666666666665,2.4730166650547556
39,B0009XH6V4,h,4.666666666666667,2.537549523340202,5.0,3.076773567240941
40,B0009XH6VE,h,4.5,2.709538884669211,5.0,3.0941907759748686
41,B002MHW4MG,h,3.0,1.881796402156946,,
42,B004YZMKKU,h,4.7,3.0449733961190177,4.833333333333333,3.1865590680892244
43,B001CK23P2,h,4.0,3.219244091846244,,
44,B000GWF57U,h,5.0,2.197894707582933,,
45,B0050QLDGY,h,4.166666666666667,2.6676655343039206,4.0,2.5920852764846365
46,B000065DJY,h,3.0,2.9097047466125976,,
47,B001RV2VQW,h,5.0,2.8481740570552496,5.0,3.3526399842793717
48,B003V264WW,h,3.8,2.606957378816488,3.6666666666666665,2.4730166650547556
49,B001UE7D3W,h,2.0,1.3857736267899223,,
50,B000065DJY,h,3.0,2.9097047466125976,,
