,product_id,product_type,2012_2_star_rating,2012_2_eval_score,2012_1_star_rating,2012_1_eval_score
0,B001QFYDSI,m,,,,
1,B000UW1WW8,m,,,,
2,B00413662I,m,4.0,2.812555287869754,,
3,B000W3JHHM,m,3.5,2.9624629601586174,5.0,3.236602132109809
4,B001QFYDQK,m,4.0,4.532638254981761,,
5,B000ZIPHM8,m,2.0,2.6857687395593266,2.0,2.860380764170432
6,B005GSZB9Q,m,4.0,4.485859815986922,,
7,B002Z8041A,m,1.0,2.534464908041527,1.0,2.4188726939725473
8,B001C3789A,m,1.0,1.0,1.0,1.0
9,B004YKDYVE,m,4.5,3.684969725793889,4.5,3.684969725793889
10,B000ZIPHM8,m,2.0,2.6857687395593266,2.0,2.860380764170432
11,B000W3JHHM,m,3.5,2.9624629601586174,5.0,3.236602132109809
12,B004YKDYVE,m,4.5,3.684969725793889,4.5,3.684969725793889
13,B002Z8041A,m,1.0,2.534464908041527,1.0,2.4188726939725473
14,B003XSST4A,m,5.0,5.0,5.0,5.0
