,product_id,product_type,2012_3_star_rating,2012_3_eval_score,2012_2_star_rating,2012_2_eval_score,2012_1_star_rating,2012_1_eval_score
0,B002BFX6EO,h,5.0,1.9824285735684573,5.0,1.9824285735684573,5.0,1.9510968435965843
1,B00005O0MZ,h,4.4,2.878964560814209,4.25,2.807682545478131,4.0,2.5901338384530206
2,B00009YJSJ,h,3.5,2.1569344930816134,3.0,2.1645168840904123,3.0,2.135075794295715
3,B003TQPRGY,h,1.0,2.0108197758274,,,,
4,B005IH0KDC,h,5.0,3.46066114182385,,,,
5,B000065DJY,h,2.3333333333333335,2.5580589644601783,3.0,2.9097047466125976,,
6,B002GQMTAK,h,2.0,1.9106774113896883,1.0,1.8900373402254584,,
7,B000G62HRM,h,5.0,3.234885757161508,,,,
8,B001LQY1X4,h,4.5,3.084413242722452,4.0,2.5793352954105018,4.0,2.5542013044758347
9,B001UE7D3W,h,3.5,2.278205194783583,2.0,1.3857736267899223,,
10,B000H0XV3G,h,4.0,2.560247578455894,4.0,2.180859960219718,4.0,2.151588562132633
11,B0009PL4D8,h,5.0,3.7085932459426796,,,,
12,B000ALCJR6,h,3.3333333333333335,2.5981937721418245,1.0,1.9073992976194072,,
13,B000IF3D38,h,5.0,2.7563713563690113,5.0,2.807193939476909,,
14,B003V264WW,h,3.6666666666666665,2.593153502962605,3.8,2.606957378816488,3.6666666666666665,2.4730166650547556
15,B000R858R0,h,4.0,3.034535803244975,3.0,2.3493770961043454,3.0,2.3218554274025935
16,B00092M38G,h,4.5,2.54582859223353,,,,
17,B003V264WW,h,3.6666666666666665,2.593153502962605,3.8,2.606957378816488,3.6666666666666665,2.4730166650547556
18,B0009XH6XC,h,1.0,2.218545564183094,,,,
19,B001LQY1X4,h,4.5,3.084413242722452,4.0,2.5793352954105018,4.0,2.5542013044758347
20,B003V264WW,h,3.6666666666666665,2.593153502962605,3.8,2.606957378816488,3.6666666666666665,2.4730166650547556
21,B00005O0MZ,h,4.4,2.878964560814209,4.25,2.807682545478131,4.0,2.5901338384530206
22,B00132ZG3U,h,4.0,2.7180058850784157,3.8,2.6636970913126863,4.25,2.918331152806209
23,B001LQY1X4,h,4.5,3.084413242722452,4.0,2.5793352954105018,4.0,2.5542013044758347
24,B0002G214U,h,2.0,2.1101725901709756,3.0,2.3224469929503946,,
25,B004YZMKKU,h,4.7272727272727275,3.050300632226002,4.7,3.0449733961190177,4.833333333333333,3.1865590680892244
26,B006BNFXHU,h,4.642857142857143,2.9828751082380682,4.583333333333333,3.057828766594061,,
27,B006BNFXHU,h,4.642857142857143,2.9828751082380682,4.583333333333333,3.057828766594061,,
28,B00092M2VO,h,3.0,2.2871272241234433,2.3333333333333335,2.1251535263547945,2.3333333333333335,2.0953037230878806
29,B003837V8A,h,5.0,3.0192500764631327,5.0,3.713080436032365,5.0,3.699718228291209
30,B000BBS636,h,5.0,2.575679189240609,5.0,2.3606045898906407,5.0,2.3331994973204404
31,B000RZLL38,h,4.75,2.9139539951248894,4.666666666666667,2.8474172698356224,5.0,2.6331180687850395
32,B003V264WW,h,3.6666666666666665,2.593153502962605,3.8,2.606957378816488,3.6666666666666665,2.4730166650547556
33,B003V264WW,h,3.6666666666666665,2.593153502962605,3.8,2.606957378816488,3.6666666666666665,2.4730166650547556
34,B0009XH6V4,h,4.75,2.472120915233297,4.666666666666667,2.537549523340202,5.0,3.076773567240941
35,B002NGMEPI,h,2.0,2.1864138889255837,,,,
36,B001BOFIRO,h,4.333333333333333,2.926710291896545,4.0,2.5857329078436555,5.0,3.069377310596171
37,B00092M38G,h,4.5,2.54582859223353,,,,
38,B001BOFIRO,h,4.333333333333333,2.926710291896545,4.0,2.5857329078436555,5.0,3.069377310596171
39,B005IH0KDC,h,5.0,3.46066114182385,,,,
40,B00132ZG3U,h,4.0,2.7180058850784157,3.8,2.6636970913126863,4.25,2.918331152806209
41,B000X2UCJO,h,4.0,2.302022919061112,,,,
42,B0009XH6TG,h,4.428571428571429,2.76905975955254,4.666666666666667,2.816031850306458,4.6,2.909688039722485
43,B0009XH6VO,h,5.0,2.266577446211607,,,,
44,B002NGMEPI,h,2.0,2.1864138889255837,,,,
45,B000ALCJR6,h,3.3333333333333335,2.5981937721418245,1.0,1.9073992976194072,,
46,B004INUY06,h,4.666666666666667,3.360460058177676,5.0,3.7280593564059954,5.0,3.714852676214015
47,B004INUY06,h,4.666666666666667,3.360460058177676,5.0,3.7280593564059954,5.0,3.714852676214015
48,B006BNFXHU,h,4.642857142857143,2.9828751082380682,4.583333333333333,3.057828766594061,,
49,B001UE7D46,h,5.0,3.123712490215457,5.0,3.123712490215457,,
50,B000FS1W4U,h,1.0,2.0740450861300417,1.0,2.0740450861300417,,
51,B000M7YQOM,h,3.0,2.9366387166662635,3.0,2.9366387166662635,,
52,B000E2ZONM,h,1.0,1.423776961170252,1.0,1.423776961170252,,
53,B0009XH6V4,h,4.75,2.472120915233297,4.666666666666667,2.537549523340202,5.0,3.076773567240941
54,B004YZMKKU,h,4.7272727272727275,3.050300632226002,4.7,3.0449733961190177,4.833333333333333,3.1865590680892244
55,B006BNFXHU,h,4.642857142857143,2.9828751082380682,4.583333333333333,3.057828766594061,,
56,B000RZLL38,h,4.75,2.9139539951248894,4.666666666666667,2.8474172698356224,5.0,2.6331180687850395
57,B006BNFXHU,h,4.642857142857143,2.9828751082380682,4.583333333333333,3.057828766594061,,
58,B006BNFXHU,h,4.642857142857143,2.9828751082380682,4.583333333333333,3.057828766594061,,
59,B001BOFIRO,h,4.333333333333333,2.926710291896545,4.0,2.5857329078436555,5.0,3.069377310596171
60,B000A3TBB6,h,5.0,3.257212820495218,5.0,3.257212820495218,5.0,3.069397724205736
61,B003V264WW,h,3.6666666666666665,2.593153502962605,3.8,2.606957378816488,3.6666666666666665,2.4730166650547556
62,B004YZMKKU,h,4.7272727272727275,3.050300632226002,4.7,3.0449733961190177,4.833333333333333,3.1865590680892244
63,B000ALCJR6,h,3.3333333333333335,2.5981937721418245,1.0,1.9073992976194072,,
64,B00132ZG3U,h,4.0,2.7180058850784157,3.8,2.6636970913126863,4.25,2.918331152806209
65,B000A3I2X4,h,4.25,2.5556674682400047,4.25,2.5556674682400047,3.5,2.2260797525595457
66,B000V3URNG,h,4.0,2.483178141644538,4.0,2.483178141644538,5.0,2.4728191002055064
67,B003S56KWQ,h,5.0,3.3271168783807017,5.0,3.3271168783807017,,
68,B00005O0MZ,h,4.4,2.878964560814209,4.25,2.807682545478131,4.0,2.5901338384530206
69,B0009XH6UU,h,4.0,2.627580976608315,4.0,2.627580976608315,4.0,2.5065122064038685
70,B0012DL8B4,h,5.0,2.9357781699461647,5.0,2.9357781699461647,,
71,B004YZMKKU,h,4.7272727272727275,3.050300632226002,4.7,3.0449733961190177,4.833333333333333,3.1865590680892244
72,B006BNFXHU,h,4.642857142857143,2.9828751082380682,4.583333333333333,3.057828766594061,,
73,B006BNFXHU,h,4.642857142857143,2.9828751082380682,4.583333333333333,3.057828766594061,,
74,B003V264WW,h,3.6666666666666665,2.593153502962605,3.8,2.606957378816488,3.6666666666666665,2.4730166650547556
75,B0002G214U,h,2.0,2.1101725901709756,3.0,2.3224469929503946,,
76,B001MXWZFM,h,1.0,2.0937544903920706,1.0,2.0937544903920706,1.0,1.0
77,B006BNFXHU,h,4.642857142857143,2.9828751082380682,4.583333333333333,3.057828766594061,,
78,B006BNFXHU,h,4.642857142857143,2.9828751082380682,4.583333333333333,3.057828766594061,,
79,B006BNFXHU,h,4.642857142857143,2.9828751082380682,4.583333333333333,3.057828766594061,,
80,B006BNFXHU,h,4.642857142857143,2.9828751082380682,4.583333333333333,3.057828766594061,,
81,B006BNFXHU,h,4.642857142857143,2.9828751082380682,4.583333333333333,3.057828766594061,,
82,B006BNFXHU,h,4.642857142857143,2.9828751082380682,4.583333333333333,3.057828766594061,,
83,B000A3I2X4,h,4.25,2.5556674682400047,4.25,2.5556674682400047,3.5,2.2260797525595457
84,B00005O0MZ,h,4.4,2.878964560814209,4.25,2.807682545478131,4.0,2.5901338384530206
85,B003V264WW,h,3.6666666666666665,2.593153502962605,3.8,2.606957378816488,3.6666666666666665,2.4730166650547556
86,B0009XH6V4,h,4.75,2.472120915233297,4.666666666666667,2.537549523340202,5.0,3.076773567240941
87,B0009XH6VE,h,4.5,2.709538884669211,4.5,2.709538884669211,5.0,3.0941907759748686
88,B002MHW4MG,h,3.0,1.881796402156946,3.0,1.881796402156946,,
89,B004YZMKKU,h,4.7272727272727275,3.050300632226002,4.7,3.0449733961190177,4.833333333333333,3.1865590680892244
90,B001CK23P2,h,4.0,3.219244091846244,4.0,3.219244091846244,,
91,B000GWF57U,h,5.0,2.197894707582933,5.0,2.197894707582933,,
