,product_id,product_type,2012_4_star_rating,2012_4_eval_score,2012_3_star_rating,2012_3_eval_score,2012_2_star_rating,2012_2_eval_score,2012_1_star_rating,2012_1_eval_score
0,B005GSZB7I,m,,,,,,,,
1,B000UW1WW8,m,2.0,2.4376428421021608,1.0,2.643800273652013,,,,
2,B004YKDYVE,m,4.666666666666667,3.141683566564201,4.5,3.684969725793889,4.5,3.684969725793889,4.5,3.684969725793889
3,B003XSST4A,m,4.666666666666667,3.4309273798969246,5.0,5.0,5.0,5.0,5.0,5.0
4,B0011YHN7M,m,1.0,2.2280740672504593,,,,,,
5,B00413662I,m,4.5,2.8750926701668376,4.0,2.812555287869754,4.0,2.812555287869754,,
6,B005GSZB3M,m,4.0,2.569766111459667,,,,,,
7,B000PUKLRM,m,1.0,2.0840965722925384,,,,,,
8,B000BQRHNQ,m,5.0,2.346776279746688,,,,,,
9,B000A7B4D0,m,3.3333333333333335,2.446878449787909,5.0,3.07632722233668,,,,
10,B004YKEV20,m,1.0,1.5411346218456297,,,,,,
11,B005JAVD3Y,m,4.0,2.9038430610991597,,,,,,
12,B005GM942C,m,4.0,5.0,,,,,,
13,B0002YTM0I,m,3.0,2.8400764011526616,,,,,,
14,B0058CLNBU,m,3.0,2.970119191534139,,,,,,
15,B000W3JHHM,m,2.75,2.3797394979772886,3.3333333333333335,2.981110123382877,3.5,2.9624629601586174,5.0,3.236602132109809
16,B0058CLNBU,m,3.0,2.970119191534139,,,,,,
17,B005OW6RFG,m,1.0,1.7494248725229355,,,,,,
18,B003XSST4A,m,4.666666666666667,3.4309273798969246,5.0,5.0,5.0,5.0,5.0,5.0
19,B000A7B4D0,m,3.3333333333333335,2.446878449787909,5.0,3.07632722233668,,,,
20,B001QFYDSI,m,1.5,2.0878001474543924,1.5,2.3631077106943073,,,,
21,B000UW1WW8,m,2.0,2.4376428421021608,1.0,2.643800273652013,,,,
22,B0019C87BC,m,1.0,1.5378692002531427,1.0,1.6739966490405156,,,,
23,B000A7B4D0,m,3.3333333333333335,2.446878449787909,5.0,3.07632722233668,,,,
24,B000W3JHHM,m,2.75,2.3797394979772886,3.3333333333333335,2.981110123382877,3.5,2.9624629601586174,5.0,3.236602132109809
25,B001QFYDSI,m,1.5,2.0878001474543924,1.5,2.3631077106943073,,,,
26,B000UW1WW8,m,2.0,2.4376428421021608,1.0,2.643800273652013,,,,
27,B00413662I,m,4.5,2.8750926701668376,4.0,2.812555287869754,4.0,2.812555287869754,,
28,B000W3JHHM,m,2.75,2.3797394979772886,3.3333333333333335,2.981110123382877,3.5,2.9624629601586174,5.0,3.236602132109809
29,B001QFYDQK,m,4.0,3.8191494953211236,4.0,4.532638254981761,4.0,4.532638254981761,,
30,B000ZIPHM8,m,2.0,2.345293162880426,2.0,2.6857687395593266,2.0,2.6857687395593266,2.0,2.860380764170432
31,B005GSZB9Q,m,4.0,3.781818921634944,4.0,4.485859815986922,4.0,4.485859815986922,,
32,B002Z8041A,m,1.0,2.2245482437928192,1.0,2.534464908041527,1.0,2.534464908041527,1.0,2.4188726939725473
33,B001C3789A,m,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,B004YKDYVE,m,4.666666666666667,3.141683566564201,4.5,3.684969725793889,4.5,3.684969725793889,4.5,3.684969725793889
35,B000ZIPHM8,m,2.0,2.345293162880426,2.0,2.6857687395593266,2.0,2.6857687395593266,2.0,2.860380764170432
36,B000W3JHHM,m,2.75,2.3797394979772886,3.3333333333333335,2.981110123382877,3.5,2.9624629601586174,5.0,3.236602132109809
37,B004YKDYVE,m,4.666666666666667,3.141683566564201,4.5,3.684969725793889,4.5,3.684969725793889,4.5,3.684969725793889
38,B002Z8041A,m,1.0,2.2245482437928192,1.0,2.534464908041527,1.0,2.534464908041527,1.0,2.4188726939725473
39,B003XSST4A,m,4.666666666666667,3.4309273798969246,5.0,5.0,5.0,5.0,5.0,5.0
